#2025/12/18 16:45:13
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw,gps_status_code
2.237,-0.05884,0.09117,-0.00397,-0.01760,0.05503,-9.80151,30.0,-0.03247,-0.38108,359.99362,1
2.247,-0.04629,0.01596,-0.00403,-0.01711,0.06246,-9.79711,30.0,-0.04685,-0.36532,359.99359,1
2.257,0.09044,0.07406,-0.00384,-0.01676,0.05637,-9.78657,30.0,-0.02614,-0.36910,359.99356,1
2.267,-0.03314,-0.03386,-0.00283,-0.01372,0.05705,-9.78554,30.0,-0.04494,-0.35640,359.99350,1
2.277,-0.12531,0.03217,-0.00277,-0.01557,0.05434,-9.79099,30.0,-0.03194,-0.34080,359.99347,1
2.287,-0.02748,-0.00631,-0.00225,-0.00461,0.06234,-9.80209,30.0,-0.04586,-0.32955,359.99341,1
2.297,-0.03383,-0.08579,-0.00194,-0.00625,0.05644,-9.80328,30.0,-0.03213,-0.31163,359.99338,3
2.307,-0.05915,-0.00876,-0.00345,-0.00091,0.06309,-9.79501,30.0,-0.04717,-0.31512,359.99335,3
2.317,-0.06867,-0.00084,-0.00409,-0.00179,0.05377,-9.79472,30.0,-0.03178,-0.29847,359.99329,3
2.327,-0.07274,0.06669,-0.00180,-0.00808,0.05607,-9.79454,30.0,-0.03986,-0.32006,359.99329,3
2.337,-0.11817,0.04921,-0.00105,-0.01949,0.06284,-9.80320,30.0,-0.05019,-0.30266,359.99323,3
2.347,-0.04717,0.04307,-0.00229,-0.01478,0.06840,-9.78898,30.0,-0.05902,-0.32570,359.99323,3
2.357,-0.02037,0.08375,-0.00377,-0.01012,0.05579,-9.79826,30.0,-0.06125,-0.30394,359.99316,3
