#2025/09/09 15:11:30
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw
2.227,0.19693,-0.08580,-19.68409,-0.06659,0.25463,9.77189,0.0,0.59215,0.89763,-17.91088
2.237,0.17704,-0.00327,-18.97514,0.09435,0.15926,9.77684,0.0,0.51178,0.83668,-18.11367
2.247,0.25706,0.01798,-16.94936,0.36356,0.06689,9.78174,0.0,0.41281,0.82129,-18.29941
2.257,0.26596,0.08106,-15.01283,0.44567,0.02864,9.76583,0.0,0.31404,0.80124,-18.45676
2.267,0.00052,-0.11725,-13.41113,0.43559,-0.05659,9.77764,0.0,0.21624,0.77908,-18.59527
2.277,-0.05865,0.00570,-11.49695,0.30425,-0.15681,9.80893,0.0,0.12294,0.72879,-18.71991
2.287,0.04914,0.00959,-11.07805,0.33696,-0.05090,9.78512,0.0,0.06439,0.64196,-18.82342
2.297,0.05944,-0.12133,-9.75491,0.32874,-0.02223,9.76714,0.0,-0.03608,0.61673,-18.93187
2.307,0.07329,-0.03903,-8.72220,0.29577,0.07704,9.76017,0.0,-0.13672,0.58304,-19.02148
2.317,-0.11699,0.01292,-8.70449,-0.19765,0.23278,9.79298,0.0,-0.24010,0.60028,-19.10262
2.327,0.01615,-0.00978,-10.14058,-0.50473,0.28049,9.79368,0.0,-0.14038,0.63898,-19.18995
2.337,-0.03101,-0.07437,-12.73467,-0.73768,0.23107,9.83259,0.0,-0.03657,0.66872,-19.30053
2.347,-0.07242,0.03294,-14.98553,-0.50318,0.15326,9.82674,0.0,0.06903,0.67810,-19.44417
2.357,-0.13153,-0.04769,-18.08455,-0.34523,0.04994,9.81570,0.0,0.17718,0.67335,-19.60818
2.367,-0.09922,-0.15519,-19.27892,-0.05942,0.03102,9.78178,0.0,0.26870,0.61731,-19.80865
2.377,-0.19700,-0.10904,-21.80251,-0.17563,-0.04386,9.79266,0.0,0.17687,0.56727,-20.00928
2.387,-0.13626,-0.15677,-22.99248,-0.03012,-0.09015,9.78495,0.0,0.25684,0.49623,-20.24342
2.397,0.01585,-0.04179,-23.66271,0.21225,-0.02839,9.76410,0.0,0.21044,0.40265,-20.48134
2.407,-0.06727,0.05614,-23.31577,0.31655,0.06291,9.76198,0.0,0.11185,0.38812,-20.72242
2.417,-0.26050,-0.00683,-22.40770,0.41861,0.16546,9.74328,0.0,0.01432,0.39999,-20.95366
2.427,-0.08622,0.13632,-21.88910,0.14295,0.25182,9.78948,0.0,-0.08002,0.42806,-21.17239
2.437,-0.03854,-0.09560,-20.99055,-0.08410,0.33782,9.83079,0.0,-0.05809,0.52796,-21.38843
2.447,-0.04867,-0.03062,-32.84672,0.22805,-0.18591,9.66640,0.0,0.00379,0.60728,-21.59310
2.457,0.04544,-0.08123,-13.11708,-0.08981,0.01752,9.74543,0.0,-0.04686,0.52717,-21.99505
2.467,-0.23424,0.08435,-4.37526,0.72071,-0.17863,9.76995,0.0,0.05086,0.54593,-22.00455
